ID,source_url,type,alignment_with_topic,spelling_grammar_style,clarity_of_view_point,arguments_supporting_details,overall
1,https://essayforum.com/writing/academic-advantages-disadvantages-90483/,Argumentative,3,4,4,4,15
2,https://essayforum.com/writing/common-belief-unpaid-community-services-made-81864/,Argumentative,4,5,4,4,17
3,https://essayforum.com/writing/reason-learning-foreign-language-76069/,Argumentative,3,2,2,4,11
4,https://essayforum.com/writing/theory-experience-future-job-market-77253/,Argumentative,4,5,5,4,18
5,https://essayforum.com/writing/gender-preference-school-classes-87951/,Argumentative,3,3,3,4,13
6,https://essayforum.com/writing/descriptive-paragraph-floods-93267/,Argumentative,3,3,3,4,13
7,https://essayforum.com/writing/independent-advertising-makes-people-85437/,Argumentative,3,4,3,4,14
8,https://essayforum.com/writing/opinion-people-traveling-87274/,Argumentative,2,3,2,3,10
9,https://essayforum.com/writing/reasons-effects-obesity-humans-75222/,Cause-Effect,2,2,2,3,9
10,https://essayforum.com/writing/video-records-better-way-learn-people-94267/,Argumentative,3,3,3,2,11
11,https://essayforum.com/writing/competitive-sports-school-curriculum-gives-87308/,Argumentative,3,3,3,4,13
12,https://essayforum.com/writing/solitary-lifestyle-94657/,Argumentative,4,5,4,5,18
13,https://essayforum.com/writing/various-ways-communication-summary-contribute-74485/,Informative,2,2,3,3,10
14,https://essayforum.com/writing/believe-computers-valuable-invention-late-89052/,Argumentative,3,4,3,4,14
15,https://essayforum.com/writing/full-time-education-adulthood-years-old-79436/,Argumentative,3,3,3,3,12
16,https://essayforum.com/writing/education-topic-95977/,Argumentative,3,4,3,3,13
17,https://essayforum.com/writing/obesity-major-global-epidemic-done-tackle-88989/,Argumentative,3,3,3,3,12
18,https://essayforum.com/writing/controversial-topic-governments-invest-94959/,Argumentative,3,3,3,4,13
19,https://essayforum.com/writing/young-people-follow-traditions-society-free-76938/,Argumentative,3,4,4,4,15
20,https://essayforum.com/writing/write-one-day-excursion-report-78435/,Narrative,3,3,2,2,10
21,https://essayforum.com/writing/psychologists-color-schemes-86373/,Argumentative,4,4,4,4,16
22,https://essayforum.com/writing/countries-allow-old-people-work-age-90833/,Argumentative,3,3,3,4,13
23,https://essayforum.com/writing/private-public-area-carrying-scientific-87516/,Argumentative,3,3,3,4,13
24,https://essayforum.com/writing/effects-growing-use-technology-classroom-80109/,Argumentative,4,5,4,4,17
25,https://essayforum.com/writing/gap-year-highschool-college-good-decision-80104/,Argumentative,3,3,3,4,13
26,https://essayforum.com/writing/supermarket-versus-local-community-stores-82403/,Argumentative,3,3,2,4,12
27,https://essayforum.com/writing/govt-wasting-money-arts-spent-elsewhere-87265/,Argumentative,3,3,2,4,12
28,https://essayforum.com/writing/zoos-cruel-closed-down-90488/,Argumentative,3,3,2,2,10
29,https://essayforum.com/writing/reasons-motivate-person-stay-working-same-95671/,Argumentative,3,3,3,4,13
30,https://essayforum.com/writing/social-media-popular-nature-online-platform-91122/,Argumentative,2,2,2,3,9
31,https://essayforum.com/writing/globalization-major-problem-days-90124/,Argumentative,4,4,2,4,14
32,https://essayforum.com/writing/use-animals-testing-medicines-cruel-77786/,Argumentative,3,3,3,4,13
33,https://essayforum.com/writing/argued-people-take-meat-food-list-become-89306/,Argumentative,3,3,2,4,12
34,https://essayforum.com/writing/ietls-countries-proportion-older-76511/,Argumentative,4,4,3,3,14
35,https://essayforum.com/writing/power-spoken-communication-85217/,Argumentative,3,3,3,2,11
36,https://essayforum.com/writing/pay-care-elders-government-family-76798/,Argumentative,3,3,2,3,11
37,https://essayforum.com/writing/good-thing-bad-overwhelming-number-90781/,Argumentative,4,5,4,4,17
38,https://essayforum.com/writing/summarize-yellow-birds-mysteriously-turn-red-73435/,Informative,4,4,4,4,16
39,https://essayforum.com/writing/children-achieve-anything-87997/,Argumentative,4,3,3,4,14
40,https://essayforum.com/writing/international-sports-events-good-bad-91899/,Argumentative,2,3,2,3,10
41,https://essayforum.com/writing/parents-take-responsibility-educating-children-87327/,Argumentative,3,4,4,4,15
42,https://essayforum.com/writing/artists-poets-musicians-important-lawyers-78978/,Argumentative,3,3,3,2,11
43,https://essayforum.com/writing/problem-solution-diet-lifestyle-89342/,Argumentative,3,4,3,3,13
44,https://essayforum.com/writing/women-men-commonly-having-different-strengths-82148/,Argumentative,3,2,2,3,10
45,https://essayforum.com/writing/people-married-happy-choose-stay-single-90353/,Argumentative,3,3,2,2,10
46,https://essayforum.com/writing/internet-isolates-encourages-people-socialise-86037/,Argumentative,3,3,3,3,12
47,https://essayforum.com/writing/lot-buildings-built-open-plan-design-80410/,Argumentative,2,2,2,3,9
48,https://essayforum.com/writing/parents-children-decide-job-future-opinion-87842/,Argumentative,3,3,2,4,12
49,https://essayforum.com/writing/age-group-easier-influenced-views-celebrities-77384/,Argumentative,3,3,3,4,13
50,https://essayforum.com/writing/academic-self-employed-88404/,Argumentative,3,3,3,4,13
51,https://essayforum.com/writing/people-different-views-dilemma-75681/,Argumentative,3,3,4,4,14
52,https://essayforum.com/writing/advertising-discourages-personalities-82408/,Argumentative,4,4,5,5,18
53,https://essayforum.com/writing/advertising-directed-particular-target-74539/,Argumentative,4,4,5,4,17
54,https://essayforum.com/writing/advantages-disadvantages-child-having-large-79642/,Argumentative,3,3,4,4,14
55,https://essayforum.com/writing/people-migrating-cities-life-search-better-94632/,Argumentative,3,3,4,4,14
56,https://essayforum.com/writing/modern-technology-advances-paved-way-90465/,Argumentative,3,4,4,4,15
57,https://essayforum.com/writing/university-students-pay-tuition-fees-77257/,Argumentative,3,4,3,4,14
58,https://essayforum.com/writing/fresh-crisis-probably-hardship-obstacle-86118/,Argumentative,3,3,3,4,13
59,https://essayforum.com/writing/obtain-cross-cultural-understanding-90549/,Argumentative,3,4,3,4,14
60,https://essayforum.com/writing/celebrities-famous-glamour-wealth-achievements-75221/,Argumentative,3,3,2,4,12
61,https://essayforum.com/writing/use-animals-benefit-unacceptable-76559/,Argumentative,2,2,2,3,9
62,https://essayforum.com/writing/increasing-price-petrol-best-ways-solve-81795/,Argumentative,3,3,3,4,13
63,https://essayforum.com/writing/benefits-international-sports-events-89793/,Argumentative,4,4,4,4,16
64,https://essayforum.com/writing/social-academic-qualifications-94219/,Argumentative,3,3,3,4,13
65,https://essayforum.com/writing/hiring-pay-maternity-leave-later-opinion-79089/,Argumentative,3,2,2,4,11
66,https://essayforum.com/writing/physical-education-classes-cut-art-music-91368/,Argumentative,3,2,3,3,11
